lat lon high date time uS/h absoluteTime
51.1191577 17.0899318 41.9 2019-01-09 10:00:42.084 0.20798592 1547028042.0
51.1191633 17.089937 41.9 2019-01-09 10:01:42.938 0.01949868 1547028102.0
51.1191657 17.0899387 41.9 2019-01-09 10:02:43.738 0.15598944 1547028163.0
51.1191684 17.0899402 41.9 2019-01-09 10:08:46.833 0.10399296 1547028526.0
51.1191622 17.0899364 41.9 2019-01-09 10:09:47.708 0.16248900 1547028587.0
51.1191645 17.0899363 41.9 2019-01-09 10:10:48.523 0.14299032 1547028648.0
51.1191647 17.0899356 41.9 2019-01-09 10:11:49.347 0.12999120 1547028709.0
51.1191639 17.0899373 41.9 2019-01-09 10:12:50.214 0.08449428 1547028770.0
51.1191597 17.0899502 41.9 2019-01-09 10:14:10.338 0.11049252 1547028850.0
